"Date of Airing (EST)","Topic List","Fact Check","TV Clip",Organization,Collection
2017-10-10,"Taxes,Patriotism,Civil Rights,Sports",http://www.politifact.com/truth-o-meter/statements/2017/oct/12/donald-trump/nfl-getting-massive-tax-breaks-donald-trump-said/,https://archive.org/details/FOXNEWSW_20171010_220000_Special_Report_With_Bret_Baier/start/1881.2/end/1891.2,PolitiFact,trumparchive
2017-10-09,"Homeland Security,Foreign Policy,Nuclear,Taxes",http://www.politifact.com/truth-o-meter/statements/2017/oct/12/donald-trump/sen-bob-corker-responsible-iran-deal-donald-trump-/,https://archive.org/details/FOXNEWSW_20171009_190000_Shepard_Smith_Reporting/start/385/end/396.5,PolitiFact,trumparchive
2017-10-09,"Nuclear,Iran",http://www.factcheck.org/2017/10/trump-misleads-corker/,https://archive.org/details/FOXNEWSW_20171009_190000_Shepard_Smith_Reporting/start/342/end/371,FactCheck.org,trumparchive
2017-10-05,"Taxes,Deficit",http://www.factcheck.org/2017/10/tax-hike-benefit-middle-class/,https://archive.org/details/CSPAN_20171005_225200_House_Minority_Leader_Nancy_Pelosi_Weekly_Briefing/start/407/end/447.5,FactCheck.org,nancy_pelosi_archive
2017-10-05,"Taxes,Corporations",http://www.factcheck.org/2017/10/tax-hike-benefit-middle-class/,https://archive.org/details/CSPAN_20171005_130000_U.S._House_of_Representatives_10052017/start/8640/end/8665,FactCheck.org,nancy_pelosi_archive
2017-10-02,Guns,http://www.politifact.com/illinois/statements/2017/oct/03/sarah-huckabee-sanders/chicago-toughest-gun-control-claim-shot-full-holes/,https://archive.org/details/CSPAN_20171002_181000_White_House_Briefing/start/400.5/end/419.2,PolitiFact,sarah_huckabee_sanders_archive
2017-10-01,"Deficit,Taxes,Economy,Debt",http://www.politifact.com/truth-o-meter/statements/2017/oct/04/mick-mulvaney/did-budget-director-mick-mulvaney-flip-flop-higher/,https://archive.org/details/FOXNEWSW_20171001_180000_Fox_News_Sunday_With_Chris_Wallace/start/2245/end/2283,PolitiFact,mick_mulvaney_archive
2017-10-01,"Taxes,Federal Budget",https://www.washingtonpost.com/news/fact-checker/wp/2017/10/06/are-red-low-tax-states-subsidizing-blue-high-tax-states-through-the-tax-code/,https://archive.org/details/KGO_20171001_150000_This_Week_With_George_Stephanopoulos/start/1622/end/1632,"Washington Post",steve_mnuchin_archive
2017-10-01,"Economy,Taxes",http://www.politifact.com/new-york/statements/2017/oct/08/charles-schumer/does-trumps-tax-plan-do-nothing-low-income-earners/,https://archive.org/details/WUSA_20171001_143000_Face_the_Nation/start/1965/end/1975,PolitiFact,charles_schumer_archive
2017-09-30,"Natural Disasters,Fake News",http://www.politifact.com/truth-o-meter/article/2017/oct/01/fact-checking-donald-trumps-tweets-about-puerto-ri/,https://archive.org/details/CNNW_20170930_150000_CNN_Newsroom_With_Fredricka_Whitfield/start/1535/end/1548.3,PolitiFact,trumparchive
2017-09-30,"Natural Disasters,Government Efficiency",http://www.politifact.com/truth-o-meter/article/2017/oct/01/fact-checking-donald-trumps-tweets-about-puerto-ri/,https://archive.org/details/CNNW_20170930_150000_CNN_Newsroom_With_Fredricka_Whitfield/start/56/end/84.4,PolitiFact,trumparchive
2017-09-30,Energy,https://www.washingtonpost.com/news/fact-checker/wp/2017/10/11/interior-secretary-zinkes-claim-the-us-has-struggled-to-produce-low-cost-abundant-and-reliable-energy,https://archive.org/details/CSPAN_20170930_041600_Interior_Secretary_Ryan_Zinke_Dismisses_Private_Plane_Controversy/start/602/end/617,"Washington Post",ryan_zinke_archive
2017-09-29,"Taxes,Federal Budget",https://www.washingtonpost.com/news/fact-checker/wp/2017/10/06/are-red-low-tax-states-subsidizing-blue-high-tax-states-through-the-tax-code/,https://archive.org/details/FBC_20170929_100000_Mornings_With_Maria_Bartiromo/start/5619/end/5643,"Washington Post",mick_mulvaney_archive
2017-09-28,"Taxes,Wealth",https://www.washingtonpost.com/news/fact-checker/wp/2017/09/29/trump-aides-sell-tax-plan-with-pinocchio-laden-claims,https://archive.org/details/KGO_20170928_140000_Good_Morning_America/start/879/end/893,"Washington Post",gary_cohn_archive
2017-09-28,Taxes,http://www.factcheck.org/2017/10/democrats-overstate-trump-tax-plan-effects/,https://archive.org/details/CSPAN2_20170928_130500_Senate_Democrats_Hold_News_Conference_on_GOP_Tax_Reform_Proposal/start/405/end/415,FactCheck.org,charles_schumer_archive
2017-09-28,"Economy,Taxes,Deficit",https://www.washingtonpost.com/news/fact-checker/wp/2017/09/29/trump-aides-sell-tax-plan-with-pinocchio-laden-claims,https://archive.org/details/FBC_20170928_100000_Mornings_With_Maria_Bartiromo/start/7594.8/end/7610.2,"Washington Post",steve_mnuchin_archive
2017-09-28,"Congress,Health Care",http://www.politifact.com/truth-o-meter/statements/2017/sep/28/donald-trump/donald-trump-wrongly-blames-hospitalized-senator-g/,https://archive.org/details/FOXNEWSW_20170928_100000_FOX__Friends/start/2225/end/2235,PolitiFact,trumparchive
2017-09-28,"Taxes,Income,Wealth",http://www.politifact.com/wisconsin/statements/2017/oct/13/paul-ryan/gop-tax-reform-framework-aimed-giving-break-middle/,https://archive.org/details/FOXNEWSW_20170928_040000_Hannity/start/2004.5/end/2017,PolitiFact,paul_ryan_archive
